.333333	.333333	.333333
.000002	.499999	.499999
.000002	.000004	.999994
.056183	.118967	.824850
.053363	.112995	.833642
.056827	.120330	.822843
.053197	.112644	.834159
.057205	.121131	.821664
.059129	.125204	.815667
.052336	.110820	.836844
.055879	.118321	.825800
.057569	.121899	.820533
.053456	.113191	.833353
.057337	.121407	.821256
.054136	.114630	.831234
.059615	.126231	.814154
.060404	.126124	.813472
.054887	.114604	.830509
.059672	.124594	.815734
.057543	.120150	.822307
.057543	.120149	.822307
.056209	.117363	.826427
.056014	.116956	.827030
.053158	.110992	.835849
.058427	.121994	.819579
.051648	.107838	.840514
.054687	.114184	.831129
.054547	.116450	.829002
.055985	.119519	.824497
.063102	.134713	.802184
.050004	.106750	.843246
.056472	.120559	.822969
.055764	.119047	.825189
.056337	.120269	.823394
.057087	.121869	.821044
.057386	.117265	.825350
.057214	.116913	.825873
.057135	.116752	.826113
.058705	.116557	.824739
.058914	.113398	.827687
.056602	.108948	.834450
.055590	.107000	.837410
.060629	.116697	.822674
.059487	.114500	.826012
.057684	.111029	.831287
.056098	.111215	.832687
.059337	.117636	.823027
.059335	.117663	.823001
.060635	.120239	.819126
.055753	.110558	.833689
.058072	.115156	.826772
.057584	.114188	.828228
.059489	.117966	.822544
.056746	.112526	.830727
.058054	.115120	.826826
.058963	.116922	.824114
.058923	.116843	.824234
.059268	.111667	.829064
.058434	.124169	.817397
.051940	.110369	.837692
.053611	.113919	.832470
.057750	.122714	.819535
.051204	.108803	.839993
.057382	.121931	.820687
.059004	.125378	.815617
.059004	.125378	.815618
.057141	.121419	.821439
.059402	.126222	.814376
.057418	.122006	.820576
.058986	.121802	.819212
.058551	.120904	.820545
.060165	.124237	.815598
.057896	.119551	.822554
.054969	.113506	.831525
.059518	.122899	.817583
.054892	.113348	.831760
.059549	.122963	.817488
.061380	.126744	.811876
.061380	.126743	.811876
.056974	.117645	.825381
.056384	.116426	.827191
.060006	.123904	.816090
.060803	.125550	.813647
.059405	.122664	.817931
.057634	.119006	.823360
.061741	.127486	.810773
.061981	.124088	.813930
.057030	.114175	.828796
.056089	.112291	.831620
.058250	.116617	.825133
.061158	.122439	.816402
.056878	.113869	.829253
.058396	.116909	.824695
.058654	.113010	.828336
.058748	.113192	.828060
.059139	.113945	.826916
.059398	.114443	.826158
.053120	.102347	.844532
.057114	.110041	.832845
.058193	.112121	.829685
.052365	.100890	.846745
.049455	.095283	.855262
.052531	.101210	.846259
.048241	.092945	.858813
.051508	.099239	.849253
.051508	.099238	.849254
.052447	.101046	.846507
.049874	.096089	.854038
.049873	.096088	.854039
.049873	.096087	.854040
.048756	.093934	.857311
.050863	.097993	.851144
.048257	.092972	.858771
.047450	.091418	.861132
.047450	.091417	.861133
.048854	.094122	.857024
.048418	.093281	.858301
.049662	.095678	.854660
.050606	.097497	.851897
.050758	.097788	.851454
.053511	.103092	.843397
.051193	.098626	.850182
.052319	.100795	.846886
.050214	.096739	.853047
.051966	.100114	.847920
.051966	.100113	.847921
.047505	.091519	.860976
.047935	.092348	.859717
.052390	.100930	.846679
