334, 161
397, 262
503, 172
444, 384
311, 2
662, 549
40, 187
526, 215
209, 691
683, 414
280, 5
252, 535
698, 348
678, 410
220, 409
355, 76
296, 313
504, 240
224, 358
470, 309
554, 279
567, 352
599, 361
240, 430
32, 345
91, 148
248, 343
488, 3
206, 437
575, 141
282, 329
27, 424
568, 287
269, 295
417, 341
32, 448
561, 357
342, 492
399, 156
571, 375
370, 151
509, 435
177, 295
526, 409
316, 65
469, 281
572, 373
29, 330
454, 537
416, 227
535, 471
265, 684
478, 509
370, 332
598, 446
201, 649
193, 680
448, 532
603, 134
543, 481
214, 43
426, 61
89, 277
84, 31
220, 623
688, 0
687, 373
75, 312
63, 23
97, 211
399, 170
456, 597
319, 626
295, 664
288, 667
268, 52
140, 513
689, 167
280, 458
453, 282
213, 525
133, 677
521, 132
30, 450
657, 39
6, 23
252, 535
42, 63
145, 399
638, 62
489, 665
361, 564
519, 347
129, 435
259, 454
676, 371
84, 183
77, 354
335, 660
264, 377
51, 676
692, 543
169, 547
194, 263
415, 78
415, 479
169, 245
525, 213
238, 33
116, 363
16, 656
434, 92
40, 424
530, 183
484, 49
263, 426
450, 126
441, 299
24, 500
503, 514
635, 200
614, 418
21, 660
143, 92
637, 54
566, 199
196, 221
384, 87
178, 104
403, 205
